2,14,1996,02/15/1996
2,14,2000,02/15/2000
2,14,2002,02/15/2002
2,28,1996,02/29/1996
2,28,2000,02/29/2000
2,28,2002,03/01/2002
2,29,1996,03/01/1996
2,29,2000,03/01/2000
2,29,2002,InvalidDateException
2,30,1996,InvalidDateException
2,30,2000,InvalidDateException
2,30,2002,InvalidDateException
2,31,1996,InvalidDateException
2,31,2000,InvalidDateException
2,31,2002,InvalidDateException
6,14,1996,06/15/1996
6,14,2000,06/15/2000
6,14,2002,06/15/2002
6,28,1996,06/29/1996
6,28,2000,06/29/2000
6,28,2002,06/29/2002
6,29,1996,06/30/1996
6,29,2000,06/30/2000
6,29,2002,06/30/2002
6,30,1996,07/01/1996
6,30,2000,07/01/2000
6,30,2002,07/01/2002
6,31,1996,InvalidDateException
6,31,2000,InvalidDateException
6,31,2002,InvalidDateException
7,14,1996,07/15/1996
7,14,2000,07/15/2000
7,14,2002,07/15/2002
7,28,1996,07/29/1996
7,28,2000,07/29/2000
7,28,2002,07/29/2002
7,29,1996,07/30/1996
7,29,2000,07/30/2000
7,29,2002,07/30/2002
7,30,1996,07/31/1996
7,30,2000,07/31/2000
7,30,2002,07/31/2002
7,31,1996,08/01/1996
7,31,2000,08/01/2000
7,31,2002,08/01/2002
12,14,1996,12/15/1996
12,14,2000,12/15/2000
12,14,2002,12/15/2002
12,28,1996,12/29/1996
12,28,2000,12/29/2000
12,28,2002,12/29/2002
12,29,1996,12/30/1996
12,29,2000,12/30/2000
12,29,2002,12/30/2002
12,30,1996,12/31/1996
12,30,2000,12/31/2000
12,30,2002,12/31/2002
12,31,1996,01/01/1997
12,31,2000,01/01/2001
12,31,2002,01/01/2003
